IF,IG,IH,IM,PROTES,CATHOL,SINGLE24,SINGLE49,MAGRIC,MIND,MCOMM,MTRANSP,MADMIN,TAGRIC,TIND,TCOMM,TTRANSP,TADMIN,INFMORT,WAGRIC,WIND,WCOMM,WTRANSP,WADMIN,WOLABFOR,GERMAN,FRENCH,ITALIAN,ROMANS,PROPTOT,GRADE1,GRADE5,USCHOOL,LOWALT,ALT500,ALT1000,DECLIM01,DECLIM05,DECLIM00,DECLIG10,DECLIG6,SEXRATIO,BORNCOM,BORNFOR,LABEL,key,Canton,District1,District2,
333,829,38,374,8350,91380,79600,26500,519,284,55,63,66,452,329,84,50,63,244,158,367,517,64,240,585,22680,76890,360,20,99700,16000,22000,13000,0,100000,0,1884300,1920400,1928100,1910200,1926100,964,490,25,L410,1004,Fribourg,Sarine,,
407,826,36,470,74020,25770,77000,18800,798,157,11,17,17,648,255,46,13,31,222,167,279,517,122,259,538,70740,29100,70,0,96500,11000,14000,10000,54000,46000,0,1879600,1914500,1925100,1914500,1922400,1015,561,10,L510,1005,Fribourg,See,,
402,970,25,399,18470,81510,78400,28000,689,235,28,14,30,749,198,17,14,20,189,217,417,538,105,397,667,95540,4410,30,20,98600,6000,24000,3000,0,100000,0,1878200,1921400,1928100,1918000,1940000,1014,558,5,L610,1006,Fribourg,Sense,,
369,871,23,409,1350,98610,77600,23000,739,199,19,15,25,645,271,34,12,30,245,119,435,570,49,347,692,1300,98230,460,0,100200,14000,22000,6000,0,100000,0,1888600,1922500,1935000,1923500,1940000,989,731,15,L710,1007,Fribourg,Veveyse,,
373,841,23,427,9510,90470,79700,11000,504,412,31,25,25,440,471,44,19,23,202,178,372,491,78,198,556,99290,680,20,0,95700,14000,13000,11000,56000,44000,0,1879100,1912700,1920400,1904300,1921200,999,707,15,L111,1101,Solothrn,Balsthal-Gau,,
396,805,34,470,55860,44030,74100,13200,463,460,23,31,22,436,478,36,25,21,199,199,273,516,58,212,640,99180,710,100,10,96000,20000,8000,14000,74000,26000,0,1880300,1916300,1924200,1912300,1915900,986,535,16,L211,1103,Solothrn,Bucheggberg,,
342,809,17,411,4130,95830,84300,18300,626,300,25,14,31,525,401,33,12,26,212,162,474,464,138,146,364,99460,520,20,0,96700,19000,13000,15000,58000,42000,0,1883000,1914300,1920900,1905100,1924000,943,765,27,L311,1104,Solothrn,Dorneck,,
316,726,16,423,17440,82200,83600,14100,338,408,33,185,29,281,506,49,131,25,172,163,438,531,16,182,424,99500,320,160,0,95200,20000,10000,19000,92000,8000,0,1875400,1902100,1913000,1885900,1885900,939,611,22,L411,1105,Solothrn,Goesgen,,
332,745,30,422,30330,68940,76800,19100,243,590,68,35,61,203,605,95,27,60,189,159,312,499,79,284,756,95190,4160,410,0,94300,24000,10000,33000,83000,17000,0,1888300,1919400,1921300,1896700,1907400,942,470,33,L511,1109,Solothrn,Solothurn,,
239,587,38,366,67340,30530,84100,23300,403,376,49,114,56,28,608,188,86,73,197,67,423,313,14,280,572,96360,2860,440,80,97300,47000,3000,37000,100000,0,0,1879700,1908100,1916400,1885000,1885100,818,389,303,L112,1201,B.,Stadt,Basel-Stadt,
297,644,27,438,78020,20810,71800,12500,40,540,198,130,81,352,418,65,82,79,218,181,357,467,8,496,600,97660,1090,1040,30,95300,25000,9000,8000,100000,0,0,1875600,1901200,1918000,1877900,1903000,1002,342,155,L212,1202,B.,Stadt,Basel-Land,
384,787,24,472,51360,48280,75800,12200,325,472,62,101,27,265,556,73,71,24,247,144,408,409,13,230,172,98790,870,320,10,97300,16000,16000,12000,100000,0,0,1878500,1906100,1920300,1886900,1908700,960,514,117,L113,1301,Basellnd,Arlesheim,,
322,799,18,388,89400,9230,83100,21400,396,465,53,37,40,302,565,64,25,36,209,129,454,455,31,267,191,99380,380,180,10,95900,23000,12000,22000,99000,1000,0,1875000,1901500,1921900,1897000,1913000,916,586,45,L213,1302,Basellnd,Liestal,,
336,780,13,421,94990,4810,79000,14500,493,433,23,25,22,352,581,29,17,19,184,91,516,475,39,245,217,99660,240,80,10,94300,22000,10000,9000,66000,34000,0,1876700,1907000,1918100,1899100,1906500,980,631,20,L313,1303,Basellnd,Sissach,,
347,796,14,426,97510,2400,85000,11000,464,479,13,20,21,322,624,20,14,18,201,62,499,573,63,228,154,99750,190,50,10,95300,14000,13000,7000,32000,68000,0,1878500,1909300,1918900,1889000,1910800,979,692,13,L413,1304,Basellnd,Waldenburg,,
368,708,32,497,96650,3090,77700,19100,671,243,25,23,36,698,208,37,18,37,182,281,127,500,80,260,333,99860,110,0,0,94500,26000,5000,27000,100000,0,0,1874800,1907300,1920100,1893200,1908800,904,805,30,L114,1401,Schfhaus,"Klettgau,Obr",,
347,665,23,504,96730,3220,79900,16400,683,232,25,18,42,746,171,34,13,35,180,396,108,508,87,222,1000,99770,160,50,20,93900,26000,5000,23000,100000,0,0,1875100,1910200,1924300,1879200,1897900,878,800,35,L214,1402,Schfhaus,"Klettgau,Unt",,
355,705,25,485,96400,3090,79700,16700,690,222,20,22,44,697,210,27,20,44,181,192,136,395,97,174,400,99950,50,0,0,94300,24000,8000,18000,65000,35000,0,1877000,1916700,1923000,1888700,1911000,980,765,39,L314,1403,Schfhaus,Reiath,,
298,654,25,434,81150,18160,80300,15400,251,545,76,53,64,235,535,110,41,66,195,211,251,488,42,286,426,98950,590,240,30,95800,35000,6000,36000,92000,8000,0,1875500,1905100,1919400,1890700,1903100,891,537,156,L414,1404,Schfhaus,Schaffhausen,,
368,701,56,484,96780,3090,79800,23000,602,263,23,83,29,614,243,39,67,33,188,224,142,542,20,286,833,98960,220,770,0,96300,20000,3000,18000,56000,44000,0,1876900,1903300,1912200,1903200,1907800,949,866,40,L514,1405,Schfhaus,Schleitheim,,
276,614,12,439,71200,28290,80500,24100,442,445,43,25,44,404,452,64,21,53,176,137,223,468,77,344,1000,99390,510,60,0,97800,28000,13000,27000,100000,0,0,1875000,1902800,1916700,1882100,1891600,899,612,115,L614,1406,Schfhaus,Stein,,
355,628,18,552,90270,9560,67800,13000,277,607,53,31,26,189,696,63,21,25,245,20,418,434,35,313,380,99180,210,510,40,98300,17000,15000,14000,0,100000,0,1875700,1901700,1921800,1899000,1893300,936,531,38,L115,1501,App,Ar,Hinterland,
321,606,30,505,92870,7010,73500,15600,301,572,49,40,29,198,680,61,27,27,224,27,460,489,28,326,152,99310,90,560,20,99700,18000,10000,21000,0,100000,0,1876800,1907200,1927800,1883900,1895800,928,565,28,L215,1502,App,Ar,Mitterland,
