"","clean.city.1860","County.1860","clean.city.1910","County.1910","lon","lat","State.1910","City.1910","Pop.1910","State.1860","City.1860","Pop.1860","alternate.city.1910","alternate.city.1860","inside_1910","inside_1860","match.ID","Deutsch.1910","Franzosisch.1910","Italienisch.1910","Romanisch.1910","Mannlich.1910","Weiblich.1910","Auslander.1910","Protestantisch.1910","Katholisch.1910","Deutsch.1860","Franzosisch.1860","Italienisch.1860","Romanisch.1860","Mannlich.1860","Weiblich.1860","Auslander.1860","Protestantische.1860","Katholisch.1860","PctGerman","rough","elev","Dist","Growth","PctCath"
"548","Villaz-St.-Pierre","Glane-Bezirk","Villaz-St-Pierre","2. La Gläne",6.961234,46.7209743,"Freiburg","100. Villaz-St-Pierre",439,"Freiburg","52. Villaz-St.-Pierre",303,"FALSE","FALSE",TRUE,TRUE,FALSE,22,412,1,0,223,212,11,11,424,0,60,0,"0",158,145,12,0,303,0,79,695,2.37907633197237,136,1
"549","Villeneuve","Broye-Bezirk","Villeneuve","1.La Broye",6.868663,46.7464845,"Freiburg","47. Villeneuve (F.)",250,"Freiburg","47. Villeneuve",276,"FALSE","FALSE",TRUE,TRUE,FALSE,5,245,1,0,133,118,5,35,216,0,57,0,"0",129,147,0,7,269,0,145,478,0.683579399812042,-26,0.97463768115942
"550","Villengeaux","Glane-Bezirk","Villangeaux","2. La Gläne",6.8,46.633337,"Freiburg","93. Villangeaux",56,"Freiburg","54. Villengeaux",41,"FALSE","FALSE",TRUE,TRUE,FALSE,4,53,0,0,29,28,0,9,48,0,5,0,"0",27,14,0,13,28,0,167,658,0.0828761991381258,15,0.682926829268293
"551","Villette","Ryf-Thal (Lavaux)-Bezirk","Villette","9. Lavaux (Rifthal)",6.7096417,46.4991846,"Vaud","153. Villette",340,"Vaud","12. Villette",331,"FALSE","FALSE",TRUE,TRUE,FALSE,15,324,0,0,171,168,4,331,8,0,67,2,"0",182,149,58,262,60,0,359,473,-8.49883245482999,9,0.186335403726708
"552","Vinzel","Rolle-Bezirk","Vinzel","17. Rolle",6.2794339,46.4474998,"Vaud","338. Vinzel",217,"Vaud","13. Vinzel",129,"FALSE","FALSE",TRUE,TRUE,FALSE,22,178,2,0,73,139,80,107,105,0,22,0,"0",65,64,8,119,10,0,272,447,-41.8287549181924,88,0.0775193798449612
"553","Vougondry","Grandson-Bezirk","Vaugondry","6. Grandson (Grandsee)",6.6371399,46.8463,"Vaud","125. Vaugondry",62,"Vaud","19. Vougondry",61,"FALSE","FALSE",TRUE,TRUE,FALSE,1,61,0,0,38,24,1,60,0,0,14,0,"0",28,33,0,61,0,0,460,717,-8.20382588268526,1,0
"554","Vuadens","Greyerz-Bezirk","Vuadens","3. La Gruyere (Greierz)",7.0250012,46.6180319,"Freiburg","142. Vuadens (Wüadingen)",1201,"Freiburg","40. Vuadens",998,"Wuadingen","FALSE",TRUE,TRUE,FALSE,23,1180,0,0,605,598,1,15,1188,2,209,0,"0",497,501,0,1,997,0.00947867298578199,77,791,10.947765661541,203,0.998997995991984
"555","Vuarmarens","Glane-Bezirk","Vuarmarens","2. La Gläne",6.82696,46.64452,"Freiburg","101. Vuarmarens",241,"Freiburg","53. Vuarmarens",181,"FALSE","FALSE",TRUE,TRUE,FALSE,0,241,0,0,122,119,1,2,239,0,34,0,"0",98,83,3,0,181,0,113,699,0.805605514430843,60,1
"556","Vuarrens","Eschallens-Bezirk","Vuarrens","5. Echallens ( Tscherli1z)",6.6472988,46.6860883,"Vaud","106. Vuarrens",513,"Vaud","26. Vuarrens",486,"FALSE","FALSE",TRUE,TRUE,FALSE,14,499,0,0,265,249,2,498,16,0,115,0,"0",270,216,3,484,2,0,60,671,-9.40706943136609,27,0.00411522633744856
"557","Vucherens","Milden(Moudon)-Bezirk","Vueherens","11. Moudon (Milden)",6.7799016,46.6248916,"Vaud","221. Vueherens",361,"Vaud","33. Vucherens",370,"FALSE","FALSE",TRUE,TRUE,FALSE,7,358,0,0,186,179,10,357,8,0,91,0,"0",194,176,0,363,7,0,77,696,-1.69874403190108,-9,0.0189189189189189
"558","Vufflens - le - CChateau","Morges-Bezirk","Vufflens-le-Chateau","10. Morges (Morsee)",6.47441,46.5250638,"Vaud","186. Vufflens-le-Chateau",225,"Vaud","33. Vufflens - le - CChateau",278,"FALSE","FALSE",TRUE,TRUE,FALSE,7,217,1,0,115,110,2,222,3,1,57,0,"0",135,143,10,270,8,0.0172413793103448,75,483,-25.4092361073081,-53,0.0287769784172662
"559","Vufflens-la-Ville","Cossonay-Bezirk","Viifflens-la-Ville","4. Cossonay",6.539418,46.5787989,"Vaud","78. Viifflens-la-Ville(Wolflingen)",331,"Vaud","33. Vufflens-la-Ville",329,"Wolflingen","FALSE",TRUE,TRUE,FALSE,4,326,1,0,169,162,5,316,15,0,76,0,"0",166,163,8,326,3,0,64,454,-19.7157086706936,2,0.00911854103343465
"560","Vuibroye","Oron-Bezirk","Vuibroye","14. Oron",6.8053351,46.5719393,"Vaud","301. Vuibroye",94,"Vaud","22. Vuibroye",144,"FALSE","FALSE",TRUE,TRUE,FALSE,4,92,0,0,46,50,4,92,4,0,31,0,"0",73,71,0,143,1,0,106,648,-0.477039770010824,-50,0.00694444444444444
"561","Vuillierens","Morges-Bezirk","Vullierens","10. Morges (Morsee)",6.4844452,46.5748369,"Vaud","187. Vullierens",464,"Vaud","34. Vuillierens",525,"FALSE","FALSE",TRUE,TRUE,FALSE,12,450,1,0,234,229,20,451,12,0,112,0,"0",264,261,10,524,1,0,65,496,-23.931735075459,-61,0.0019047619047619
"562","Vuippens","Greyerz-Bezirk","Vuippens","3. La Gruyere (Greierz)",7.075,46.66,"Freiburg","143. Vuippens (Wippingen) .",266,"Freiburg","41. Vuippens",247,"Wippingen","FALSE",TRUE,TRUE,FALSE,4,241,22,0,143,124,43,0,267,1,47,0,"0",122,125,0,5,242,0.0208333333333333,87,715,13.4002490419845,19,0.979757085020243
"563","Vuissens","Broye-Bezirk","Vuissens","1.La Broye",6.764964,46.7370399,"Freiburg","49. Vuissens",274,"Freiburg","49. Vuissens",231,"FALSE","FALSE",TRUE,TRUE,FALSE,2,271,1,0,142,132,8,1,273,0,43,0,"0",121,110,1,9,222,0,97,736,0.386843835617133,43,0.961038961038961
"564","Vuisternens","Glane-Bezirk","Vuisternens-devant-Romont","2. La Gläne",6.9299774,46.6557858,"Freiburg","102. Vuisternens-devant-Romont(Winteelingen bei Remund)",361,"Freiburg","55. Vuisternens",311,"Winteelingen bei Remund","FALSE",TRUE,TRUE,FALSE,5,358,0,0,186,177,7,0,363,0,61,0,"0",163,148,1,0,311,0,71,783,4.72778484175577,50,1
"565","Vuisternens en
Ogoz","Sanne-Bezirk","I uieternens-en-Ogoe","4. La Sarine ( Saane)",7.1619719,46.8064773,"Freiburg","204. I uieternens-en-Ogoe (II interlineen in egor)",585,"Freiburg","60. Vuisternens en
Ogoz",477,"II interlineen in egor","FALSE",TRUE,TRUE,FALSE,12,576,1,0,290,299,8,4,585,0,111,0,"0",226,251,4,0,477,0,92,567,10.044702360729,108,1
"566","Vuiteboeuf","Orbe-Bezirk","Vuiteboeuf","13. Orbe (Orbach)",6.5492468,46.8077285,"Vaud","279. Vuiteboeuf",339,"Vaud","26. Vuiteboeuf",510,"FALSE","FALSE",TRUE,TRUE,FALSE,27,313,10,0,176,174,26,330,20,0,119,0,"0",257,253,3,503,7,0,284,617,-15.0027054762059,-171,0.0137254901960784
"567","Vulliens","Oron-Bezirk","Vulliens","14. Oron",6.7921344,46.622324,"Vaud","302. Vulliens",478,"Vaud","23. Vulliens",436,"FALSE","FALSE",TRUE,TRUE,FALSE,8,469,0,0,255,222,0,469,5,0,89,0,"0",226,210,0,434,2,0,99,733,-0.973294370586135,42,0.00458715596330275
"568","Wallenried","See-Bezirk","Wallenried","5. See (Lac)",7.1157994,46.8735747,"Freiburg","248. Wallenried (Esserts)",302,"Freiburg","41. Wallenried",270,"Esserts","FALSE",TRUE,TRUE,FALSE,137,162,0,0,162,137,2,126,173,10,34,0,"0",142,128,4,83,187,0.227272727272727,55,574,2.88408121791762,32,0.692592592592593
"569","Yens","Morges-Bezirk","Yens","10. Morges (Morsee)",6.4179173,46.5196158,"Vaud","188. Yens",623,"Vaud","35. Yens",681,"FALSE","FALSE",TRUE,TRUE,FALSE,21,608,2,0,348,283,18,607,24,4,154,0,"0",362,319,4,668,9,0.0253164556962025,157,565,-29.7641045909859,-58,0.0132939438700148
"570","Yvonand","Yverdon (Ifferten)-Bezirk","Yvonand","19. Yverdon ( Iferten)",6.7455463,46.7994765,"Vaud","388. Yvonand",1188,"Vaud","39. Yvonand",878,"FALSE","FALSE",TRUE,TRUE,FALSE,105,1069,4,0,606,574,36,1102,77,3,174,0,"0",442,436,1,869,9,0.0169491525423729,137,437,-2.29119241484425,310,0.010250569476082
"571","Yvorne","Aigle-Bezirk","Yvorne","1. Aigle (Aden)",6.958395,46.3315011,"Vaud","15. Yvorne",912,"Vaud","15. Yvorne",818,"FALSE","FALSE",TRUE,TRUE,FALSE,41,856,24,0,461,463,60,815,90,0,192,0,"0",407,411,15,789,29,0,398,454,-12.1361653196239,94,0.0354523227383863
"572","Zenauvaz","Sanne-Bezirk","Zenauva","4. La Sarine ( Saane)",7.183334,46.733333,"Freiburg","205. Zenauva",107,"Freiburg","61. Zenauvaz",52,"FALSE","FALSE",TRUE,TRUE,FALSE,5,102,0,0,50,57,0,5,102,0,14,0,"0",25,27,0,0,52,0,253,883,16.7401884345018,55,1
